annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million
20200053;VENDREDI;03/07/2020;Super Jackpot et tirages suivants;02/10/2020;27;4;16;39;37;3;6;-4-16-27-37-39-;-3-6-;0;0;0;1;10;126332,6;7;33;8947,2;26;98;938,4;336;1552;109,1;955;3713;48,2;671;3327;37,8;14036;52823;11,9;15598;66033;10,6;31922;138411;9,4;73256;275443;5,7;226377;940515;5,3;463034;1961364;4;0;0;6;620,8;102;20,2;295;7;4405;1,1;4919;2,8;22824;2,8;39083;7,7;72260;2,3;641409;2,3;SE 756 4471;
20200054;MARDI   ;07/07/2020;7;06/10/2020;41;33;23;12;16;8;10;-12-16-23-33-41-;-8-10-;0;1;144542315;2;8;112962,6;2;16;13200,6;7;54;1218,2;214;1068;113,4;379;1861;68,8;499;2492;36,1;5595;27209;16,5;9380;45013;11,1;21980;108567;8,6;30484;143534;7,8;130601;631726;5,6;316109;1527227;3,7;2;654,4;3;349;75;17,4;121;10,8;1898;1,7;3083;2,8;10504;3,9;17011;11,2;42948;2,5;364199;2,6;JF 734 1511;
20200055;VENDREDI;10/07/2020;1;09/10/2020;30;38;15;17;23;2;7;-15-17-23-30-38-;-2-7-;0;0;0;6;9;74781,9;4;14;11235,7;22;66;742,3;225;964;93,6;680;2649;36;413;1909;35,1;8672;36019;9,3;9628;42487;8,8;17021;80362;8,6;43749;177965;4,7;124906;573219;4,6;227549;1095560;3,9;0;0;7;266,9;66;15,7;221;4,6;2884;0,9;3243;2,1;14433;2,2;23282;6,5;41744;2;333163;2,2;UL 180 7837;
20200056;MARDI   ;14/07/2020;2;13/10/2020;30;22;37;11;47;9;10;-11-22-30-37-47-;-9-10-;0;0;0;0;0;0;2;6;101330,7;4;19;1888,1;81;487;135,6;137;818;85,4;215;1138;43,1;2027;12292;19,9;3956;21782;12,5;9547;51291;9,9;11098;66459;9,2;59649;325980;5,9;145134;778495;4;0;0;1;1227,5;26;26,2;46;14,8;762;2,2;1413;3,2;4077;5,2;6684;14,8;21512;2,6;195263;2,5;NY 772 1633;
20200057;VENDREDI;17/07/2020;3;16/10/2020;7;27;41;15;43;7;9;-7-15-27-41-43-;-7-9-;0;0;0;3;7;96257,2;1;5;31495,6;13;53;925,4;196;957;94,4;550;2455;38,9;360;1739;38,5;7644;33820;9,9;8380;40886;9,1;14175;72686;9,5;37620;160145;5,2;118876;568827;4,6;208844;1030354;4,1;2;498,4;4;199,3;62;16;184;5,4;2625;0,9;2791;2,3;12504;2,5;18660;7,7;40266;2;311619;2,3;OU 340 6452;
20200058;MARDI   ;21/07/2020;4;20/10/2020;29;15;42;14;24;2;4;-14-15-24-29-42-;-2-4-;0;1;49564587;0;3;177754,5;2;3;41544,1;8;37;1049,1;89;555;128,8;304;1427;52,9;223;1204;44,1;4364;21507;12,3;5202;26912;11;10904;56710;9,7;22022;107554;6,2;80072;399902;5,2;163066;832577;4;0;0;3;457,1;39;19,5;95;8;1468;1,2;1831;2,7;7563;3,1;11689;9,5;27615;2,2;234707;2,3;RV 049 2923;
20200059;VENDREDI;24/07/2020;1;23/10/2020;8;28;50;27;9;12;4;-8-9-27-28-50-;-4-12-;0;0;0;0;3;205961,3;0;7;20629,9;4;23;1955,6;94;555;149,2;196;1058;82,7;295;1595;38,5;2961;16672;18,4;5439;27279;12,5;14841;72778;8,7;15640;84996;9,1;85593;416403;5,8;238706;1125472;3,4;0;0;1;1605,1;35;25,4;72;12,3;1060;2,1;1914;3,1;5615;5;8487;15,3;29510;2,4;220156;2,9;JH 979 5073;
20200060;MARDI   ;28/07/2020;2;27/10/2020;34;17;13;9;15;7;2;-9-13-15-17-34-;-2-7-;0;0;0;2;4;120865,8;1;7;16141,9;15;44;799,8;161;741;87,4;533;2093;32,7;298;1394;34,5;6614;28516;8,4;6721;32694;8,2;11856;60275;8,2;30848;135763;4,4;90012;434961;4,3;161071;826953;3,7;0;0;5;249,3;48;14,4;173;4;2190;0,7;2240;2;10671;2;14738;6,8;31149;1,8;212331;2,3;KI 833 7510;
20200061;VENDREDI;31/07/2020;3;30/10/2020;30;46;24;21;49;2;5;-21-24-30-46-49-;-2-5-;0;0;0;0;0;0;2;6;136226,5;4;27;1786,2;106;529;167,9;268;1506;62,3;219;1226;53,8;4661;24333;13,5;5122;27797;13,2;10658;58195;11,7;28448;145640;5,6;86106;450152;5,8;175195;919223;4,5;0;0;1;1680,4;29;32,1;93;10;1513;1,5;1819;3,4;9350;3,1;17056;7,9;29175;2,6;305557;2,2;DW 519 7337;
20200062;MARDI   ;04/08/2020;4;03/11/2020;42;2;5;1;15;8;5;-1-2-5-15-42-;-5-8-;0;0;0;0;2;265150;0;1;123939,8;10;41;941,5;142;674;105,5;417;1933;38,8;253;1192;44,3;5651;28050;9,4;6297;31560;9,3;12579;62253;8,8;27523;141282;4,7;85100;427402;4,8;171178;843157;3,9;0;0;5;272,1;54;14;149;5;1970;0,9;2250;2,2;9200;2,5;13831;7,9;29735;2;217920;2,5;OK 001 5607;
20200063;VENDREDI;07/08/2020;5;06/11/2020;36;20;5;41;21;11;6;-5-20-21-36-41-;-6-11-;0;0;0;1;4;195041,6;1;7;26048,2;4;36;1577,6;92;614;170,3;222;1516;72,9;243;1533;50,6;3876;23353;16,6;5099;32163;13,4;12635;76263;10,5;22376;129363;7,5;83306;497396;6,1;210211;1199060;4,1;1;992,4;1;793,9;38;26,1;72;13,7;1388;1,7;1751;3,7;8081;3,8;13855;10,4;28487;2,8;281356;2,5;HK 751 8334;
20200064;MARDI   ;11/08/2020;6;10/11/2020;14;13;50;8;42;3;9;-8-13-14-42-50-;-3-9-;0;0;0;0;2;293190,7;0;2;68523,5;2;31;1376,9;88;530;148,3;284;1726;48,1;211;1237;47,2;5030;26334;11;4797;27592;11,8;10771;59707;10,1;27703;144296;5;80775;435472;5,3;173340;916256;4;0;0;0;0;28;79,8;88;9;1644;1,2;1670;3,2;9458;2,6;14940;7,8;27688;2,3;236254;2,4;RO 370 1123;
20200065;VENDREDI;14/08/2020;7;13/11/2020;49;10;42;9;19;4;12;-9-10-19-42-49-;-4-12-;0;0;0;3;5;157446,8;1;5;36797,9;5;24;2387,8;127;670;157,5;224;1449;77;382;1810;43,3;3681;21133;18,5;6560;34068;12,8;18764;91743;8,8;18838;111645;8,8;98309;510793;6;271614;1349713;3,7;1;1050,7;2;420,3;37;28,3;90;11,6;1361;1,9;2303;3;6808;4,8;10682;14,3;33982;2,5;268117;2,8;EM 957 7653;
20200066;MARDI   ;18/08/2020;8;17/11/2020;12;34;42;17;6;12;5;-6-12-17-34-42-;-5-12-;0;0;0;1;5;131558,4;0;5;30747,3;4;30;1596,1;157;746;118,2;260;1354;68,8;427;1907;34,3;3313;18506;17,7;6678;32782;11,1;17248;80439;8,4;17511;96316;8,5;89387;457082;5,6;230608;1116083;3,7;0;0;1;1658,1;52;17,7;92;10;1170;1,9;2256;2,7;6250;4,6;9700;13,8;30562;2,4;241968;2,7;CC 440 6829;
20200067;VENDREDI;21/08/2020;9;20/11/2020;10;35;50;15;44;5;3;-10-15-35-44-50-;-3-5-;0;0;0;1;6;156509,1;1;9;24385,8;12;47;1454,4;177;993;126,8;484;2610;51;336;1978;47,2;7466;41568;11,2;7769;44889;11,6;15925;89552;10,8;41785;219696;5,3;125690;679218;5,4;259095;1364172;4,3;0;0;5;462,2;41;31,3;169;7,5;2374;1,3;2563;3,3;13383;3;23563;7,9;41583;2,5;408700;2,2;MH 105 6486;
20200068;MARDI   ;25/08/2020;10;24/11/2020;18;37;39;30;7;10;8;-7-18-30-37-39-;-8-10-;0;0;0;1;5;163573,8;1;11;17377,2;9;47;1266,7;203;944;116,1;336;1746;66,4;405;2037;39,9;5019;25376;16;7748;40006;11,3;17673;92808;9,1;25923;132800;7,7;107822;564682;5,7;258534;1345481;3,8;0;0;4;503;68;16,4;115;9,7;1704;1,6;2592;2,8;9190;3,8;15399;10,5;36199;2,5;313766;2,5;QF 215 6243;
20200069;VENDREDI;28/08/2020;11;27/11/2020;31;16;17;7;12;9;7;-7-12-16-17-31-;-7-9-;0;0;0;2;9;119361,1;4;18;13948,3;28;104;751,9;399;1731;83,2;957;4142;36,7;689;3228;33,1;12826;56369;9,4;15772;73247;8,1;26644;132973;8,3;56107;261389;5,1;198151;974840;4,3;354133;1815616;3,7;1;1400,7;9;124,5;121;11,5;300;4,6;4063;0,8;5160;1,8;18268;2,4;23713;8,6;64766;1,7;406770;2,5;WF 229 9684;
20200070;MARDI   ;01/09/2020;12;01/11/2020;46;8;4;33;10;8;11;-4-8-10-33-46-;-8-11-;1;1;157170843;1;6;153948,4;2;6;35980,2;4;44;1528,2;170;1006;123,1;337;1973;66,3;358;2050;44,8;5073;28911;15,9;8898;45746;11,2;19409;100330;9,5;26897;152250;7,6;124437;654019;5,5;292633;1486934;3,9;1;1240,3;2;496,1;58;21,3;117;10,6;1721;1,8;3018;2,7;9163;4,2;14511;12,4;42134;2,4;337858;2,6;IR 486 1016;
20200071;VENDREDI;04/09/2020;1;04/11/2020;6;29;43;40;22;7;4;-6-22-29-40-43-;-4-7-;0;0;0;1;4;176702,3;1;8;20649,1;11;38;1354;148;674;140,6;386;1866;53,6;295;1500;46,9;6113;28936;12,1;6601;32338;12,1;12870;68089;10,7;35686;163884;5,4;99342;491615;5,6;192911;1013742;4,4;0;0;2;917,1;46;22,1;125;8,1;2078;1,2;2355;2,8;12144;2,6;21353;6,9;34723;2,4;337427;2,1;BC 472 0015;
20200072;MARDI   ;08/09/2020;2;08/11/2020;9;35;2;41;31;12;9;-2-9-31-35-41-;-9-12-;0;0;0;0;2;261831;1;4;30597,1;3;23;1657,4;82;428;164;131;821;90,4;163;987;52,8;2218;12450;20,9;3896;20444;14,2;9250;48658;11,1;12552;68440;9,5;61601;320138;6,4;154660;783822;4,2;0;0;1;1436,8;33;24,1;43;18,5;862;2,3;1417;3,7;4940;5;7899;14,7;22948;2,8;210923;2,7;UZ 647 1420;
20200073;VENDREDI;11/09/2020;3;11/11/2020;34;38;45;43;42;12;9;-34-38-42-43-45-;-9-12-;0;0;0;1;2;352375,3;0;8;20588,9;7;25;2052,1;118;580;162,9;207;1055;94,6;300;1426;49,2;2921;16223;21,6;4868;25778;15,1;13238;62894;11,5;15678;88055;10;72176;389847;7,1;191835;969300;4,6;1;1049,2;4;209,8;42;24,9;80;13,1;1127;2,3;1748;4;5938;5,5;11161;13,7;25958;3,3;303075;2,5;ES 198 7144;
20200074;MARDI   ;15/09/2020;4;15/11/2020;38;25;30;16;20;8;6;-16-20-25-30-38-;-6-8-;0;0;0;0;3;188472;1;7;18878,1;6;36;1143,3;96;655;115,7;302;1541;52;254;1344;41,9;4582;22037;12,7;5817;29331;10,7;11904;60360;9,6;23906;113496;6,2;83183;414876;5,3;172473;873152;4,1;0;0;0;0;41;57,2;96;8,7;1601;1,3;2052;2,7;8397;3,1;14151;8,6;28917;2,3;256988;2,3;OP 735 6223;
20200075;VENDREDI;18/09/2020;5;18/11/2020;25;45;19;2;10;1;7;-2-10-19-25-45-;-1-7-;0;0;0;0;5;166116;2;6;32353,3;11;61;991,2;266;1158;96,1;581;2426;48,5;482;2436;33,9;7268;33330;12,4;9713;46944;9,8;19803;101487;8,4;35586;166868;6,2;128995;646705;5;254921;1368514;3,8;0;0;3;652,4;96;11,3;179;6;2424;1,1;3155;2,3;11760;2,9;18338;8,6;43220;2;329124;2,4;NL 914 1916;
20200076;MARDI   ;22/09/2020;6;22/11/2020;28;39;25;40;16;1;6;-16-25-28-39-40-;-1-6-;0;0;0;1;5;123979;0;3;48293,2;7;21;2148,8;110;600;138,5;217;1285;68,3;234;1443;42,7;3967;20023;15,4;5224;27225;12,6;12008;64322;9,9;21562;107403;7,2;78996;404454;6;179553;944456;4,1;0;0;3;538,9;41;21,9;81;11;1331;1,6;1808;3,3;7167;3,9;12753;10,2;27602;2,6;269829;2,4;AM 862 6424;
20200077;VENDREDI;25/09/2020;Super Jackpot et tirages suivants;25/11/2020;34;45;19;23;37;1;7;-19-23-34-37-45-;-1-7-;0;1;130000000;0;5;247047,8;5;25;11547,8;16;78;1152,8;374;1590;104,1;812;3162;55,3;801;3694;33,3;10810;44420;13,8;14416;63635;10,7;30469;142425;8,9;59230;237240;6,5;195280;867562;5,6;412900;1921549;4;0;0;5;689,5;125;15,3;222;8,6;3482;1,3;4561;2,8;19268;3,1;34308;8,1;63749;2,4;601772;2,3;GB 600 8763;
20200078;MARDI   ;29/09/2020;1;29/11/2020;16;14;4;44;41;11;12;-4-14-16-41-44-;-11-12-;0;0;0;0;1;511878,3;0;6;19939;5;16;2328,9;81;450;152,5;133;857;84,6;253;1430;35,6;2019;11989;21,2;3468;19701;14,4;11716;59701;8,8;11140;64119;10;52294;278746;7,2;174069;862108;3,7;0;0;1;1420,1;27;29,2;51;15,4;783;2,5;1330;3,9;4295;5,7;7371;15,6;19893;3,2;184849;3,1;LH 000 7642;
20200079;VENDREDI;02/10/2020;2;02/12/2020;15;45;12;6;40;9;3;-6-12-15-40-45-;-3-9-;1;1;30627859;7;8;88921,7;3;8;20782,4;6;48;1078,8;171;762;125,1;489;2195;45,9;298;1502;47,1;7218;32321;10,9;7362;34706;11,3;15359;73110;10;36650;169534;5,2;111724;524166;5,3;231569;1086594;4,1;7;155,9;3;291;62;17,6;151;7,2;2559;1;2509;2,9;12405;2,7;21149;7,5;38844;2,3;329183;2,4;DO 142 6191;
20200080;MARDI   ;06/10/2020;1;06/12/2020;41;36;4;21;47;11;9;-4-21-36-41-47-;-9-11-;0;0;0;0;3;165112,6;1;5;23153,7;2;16;2253,6;61;395;168,1;159;887;79,1;171;943;52,3;2347;13056;18,8;3349;19244;14,2;7959;43992;11,6;13176;73158;8,4;54207;295086;6,6;132587;686274;4,5;0;0;1;1402,8;22;35,4;60;12,9;879;2,2;1219;4,2;5098;4,8;9236;12,3;20083;3,2;226457;2,5;AK 982 0660;
20200081;VENDREDI;09/10/2020;2;09/12/2020;15;11;35;50;41;8;5;-11-15-35-41-50-;-5-8-;0;0;0;0;2;347164,3;0;3;54092;2;44;1148,7;97;677;137,5;370;1993;49,3;260;1365;50,6;6064;31728;10,8;5685;31487;12,2;12002;62584;11,4;36411;180330;4,8;91006;477696;5,7;192059;969596;4,5;0;0;1;1936,9;43;25;132;8,1;2001;1,3;1992;3,6;12200;2,7;21643;7,2;31557;2,8;333609;2,3;KQ 131 6639;
20200082;MARDI   ;13/10/2020;3;13/12/2020;5;41;46;38;14;10;1;-5-14-38-41-46-;-1-10-;0;0;0;0;1;522745,9;0;1;122174,3;1;19;2002,8;90;410;170,9;193;949;78;205;1067;48,8;2594;12725;20,4;3973;19911;14,5;9928;51243;10,5;14613;72442;9;60077;296170;6,9;155654;772207;4,3;0;0;0;0;30;77;68;12,1;977;2,1;1481;3,7;5345;4,8;9607;12,5;22030;3;226075;2,6;CV 058 7277;
20200083;VENDREDI;16/10/2020;4;16/12/2020;15;40;38;33;50;6;3;-15-33-38-40-50-;-3-6-;0;0;0;1;1;737995,3;0;5;34496,3;5;50;1074,4;122;691;143,2;316;1693;61,7;257;1440;51;5351;26653;13,7;5536;31378;13;12004;67950;11,2;34606;157351;5,8;90154;486562;5,9;187505;1029066;4,5;1;1089,1;1;871,3;38;28,6;106;10,2;1824;1,4;1922;3,7;11627;2,9;22917;6,9;31330;2,8;360338;2,1;RV 734 1637;
20200084;MARDI   ;20/10/2020;5;20/12/2020;15;5;42;37;6;4;3;-5-6-15-37-42-;-3-4-;0;0;0;1;3;189400,6;3;7;18971,1;3;23;1798,4;110;586;130;225;1151;69,9;230;1286;44;3375;18004;15,7;5359;28060;11,2;10998;58880;9,9;18169;97757;7,2;82769;426910;5,2;169420;878501;4,1;0;0;2;735,3;36;22,6;65;12,5;1185;1,7;1843;2,9;6489;3,9;10325;11,5;28898;2,3;254502;2,3;MW 147 9033;
20200085;VENDREDI;23/10/2020;6;23/12/2020;19;23;10;21;15;3;12;-10-15-19-21-23-;-3-12-;0;0;0;1;3;261553,3;6;26;7053,3;4;31;1842,6;304;1410;74,6;292;1612;69;855;3375;23,1;4271;22625;17,2;10719;49699;8,7;27543;124813;6,5;19732;110757;8,8;126094;622490;4,9;324275;1551438;3,2;0;0;3;664,5;109;10,1;117;9,4;1533;1,8;3577;2;7301;4,7;10991;14,7;43327;2,1;284222;2,8;KC 160 2843;
20200086;MARDI   ;27/10/2020;7;27/12/2020;13;15;28;44;32;12;3;-13-15-28-32-44-;-3-12-;0;1;87757466;1;4;152128,9;1;9;15802,2;2;24;1845,7;149;735;111;225;1152;74,8;325;1869;32,4;3090;17011;17,8;5677;30567;11;14613;76077;8,2;15228;87237;8,7;79290;421362;5,6;202029;1050009;3,6;1;860;0;0;48;32,2;76;11,3;1197;1,7;2007;2,8;5811;4,6;9108;13,7;28488;2,4;231716;2,6;QA 581 7004;
20200087;VENDREDI;30/10/2020;1;30/12/2020;21;16;20;12;28;9;3;-12-16-20-21-28-;-3-9-;0;0;0;0;4;163187;2;8;19069,7;10;54;879,9;255;1047;83,6;635;2536;36,4;494;2083;31,2;7688;33733;9,6;9213;41198;8,8;18627;83988;8;34772;165331;4,9;114267;541770;4,7;230929;1105289;3,7;0;0;3;568;77;12,2;216;4,3;2727;0,8;3214;1,9;12193;2,4;17994;7,6;39495;1,9;274932;2,5;DK 004 2337;
20200088;MARDI   ;03/11/2020;2;03/01/2021;5;7;18;20;30;7;6;-5-7-18-20-30-;-6-7-;0;0;0;2;7;70929,1;4;14;8288,6;7;43;840,5;273;1128;59;387;1664;42,2;450;1939;25,5;4548;21016;11,7;9256;39142;7;14873;69786;7,3;19898;99060;6,2;102303;470113;4,1;172514;869851;3,6;0;0;4;325,4;93;7,7;144;5;1631;1,1;3344;1,4;7195;3,1;9943;10,6;37039;1,6;225500;2,3;SB 380 8153;
20200089;VENDREDI;06/11/2020;3;06/01/2021;12;37;7;50;40;1;2;-7-12-37-40-50-;-1-2-;0;0;0;0;2;347604,2;0;6;27080,2;8;41;1234,3;140;725;128,5;244;1336;73,7;246;1488;46,5;3830;21182;16,3;6030;32150;12;13033;72026;9,9;20868;112945;7,7;94502;484902;5,6;205321;1091274;4;0;0;2;899,4;54;18,5;93;10,7;1305;1,9;2149;3,1;7245;4,3;11418;12,7;33638;2,4;299201;2,4;LB 981 4400;
20200090;MARDI   ;10/11/2020;4;10/01/2021;19;3;38;32;29;12;5;-3-19-29-32-38-;-5-12-;0;0;0;0;2;279894,1;0;3;43610,5;3;21;1940,5;87;529;141,9;188;1084;73,2;272;1360;41;2534;15129;18,4;4578;26244;11,8;11795;62688;9,2;13810;79417;8,8;68965;381713;5,7;180414;927880;3,8;0;0;0;0;24;95,7;77;10,6;985;2;1609;3,4;5343;4,8;8972;13,3;25271;2,6;220804;2,7;IB 051 3569;
20200091;VENDREDI;13/11/2020;5;13/01/2021;31;17;1;28;5;1;10;-1-5-17-28-31-;-1-10-;0;0;0;1;4;222454,1;8;26;7998,6;16;56;1156,7;395;1328;89,8;589;2073;60,8;925;3283;26,9;7409;27330;16,2;14440;50710;9,7;34975;125599;7,3;33783;133357;8,3;172944;644710;5,4;432727;1633896;3,4;0;0;5;565,6;134;11,7;183;8,5;2543;1,5;4873;2,1;11664;4,2;17174;13,3;58235;2,2;395681;2,8;AX 115 7025;
20200092;MARDI   ;17/11/2020;6;17/01/2021;30;25;44;19;16;6;2;-16-19-25-30-44-;-2-6-;0;0;0;1;1;609799,2;0;4;35630;16;46;965;147;750;109;362;1896;45,5;306;1576;38,5;5462;26592;11,4;6556;32885;10,3;13607;70609;8,9;27954;135999;5,6;93962;464581;5,1;192599;982134;3,9;0;0;8;202,1;48;18,7;113;7,9;1927;1,1;2285;2,6;9695;2,9;15529;8,4;33277;2,2;271015;2,4;DQ 513 0923;
20200093;VENDREDI;20/11/2020;Super Jackpot et tirages suivants;20/01/2021;28;50;48;39;29;5;7;-28-29-39-48-50-;-5-7-;0;0;0;2;6;209127,7;2;7;41894,2;6;61;1497,4;225;1144;147;640;3110;57,1;553;2605;47,9;10992;49635;12,5;11040;53181;13,1;23420;113770;11,4;70409;298808;5,2;181677;842595;5,8;369721;1730636;4,6;0;0;0;0;86;66,2;228;8,9;3678;1,3;3777;3,6;23189;2,7;44279;6,7;62049;2,7;682220;2,1;FT 835 8023;
20200094;MARDI   ;24/11/2020;8;25/03/2021;50;33;38;42;25;12;8;-25-33-38-42-50-;-8-12-;0;0;0;1;5;176840,4;4;12;17221;7;40;1609,1;151;830;142,8;319;1615;77,6;416;2012;43,7;4485;23825;18,4;7044;37825;12,9;17269;90012;10,1;23507;125229;8,8;103129;552652;6,3;252717;1321424;4,2;0;0;2;1151;62;20,6;92;13,9;1574;2;2406;3,5;8363;4,8;14727;12,6;36176;2,9;361397;2,5;SP 913 9425;
20200095;VENDREDI;27/11/2020;9;28/03/2021;8;14;16;5;2;9;8;-2-5-8-14-16-;-8-9-;0;0;0;1;3;391023,1;5;28;9791,6;24;90;948,8;583;2157;72,9;632;2979;55,8;1170;4312;27,1;8245;40603;14,3;18091;77208;8,4;35174;153979;7,8;37932;196484;7,4;208511;976295;4,7;426947;1999670;3,7;1;1673,4;8;167,3;189;8,8;213;7,8;2870;1,4;6080;1,8;13218;3,9;20020;12,2;70405;1,9;483025;2,5;VG 924 9237;
20200096;MARDI   ;01/12/2020;10;01/04/2021;29;49;20;14;47;12;4;-14-20-29-47-49-;-4-12-;0;0;0;0;3;328905,6;1;6;38435,3;10;53;1355,2;144;821;161,1;319;1848;75,6;378;1967;49,9;4698;26355;18,6;7382;39794;13,7;18544;97165;10,5;26020;143597;8,6;115063;606731;6,4;291381;1502470;4,1;0;0;3;833,1;46;30,1;122;11,3;1733;2;2620;3,5;9557;4,5;15848;12,7;40468;2,8;382566;2,6;FV 079 1121;
20200097;VENDREDI;04/12/2020;11;04/04/2021;14;38;20;27;34;1;11;-14-20-27-34-38-;-1-11-;0;0;0;4;6;1385679,2;8;26;15425,5;20;76;1643,7;499;1747;131,7;917;3422;71;1292;4703;36,3;13455;50925;16,7;21149;77496;12,3;56440;204601;8,6;71306;271544;7,9;300626;1107720;6,1;778710;2840869;3,8;3;1103,8;6;441,5;178;18,6;301;11;4608;1,7;7046;3,1;24459;4,2;41614;11,6;101950;2,6;895540;2,6;DN 528 1278;
20200098;MARDI   ;08/12/2020;12;08/04/2021;1;46;21;4;24;2;12;-1-4-21-24-46-;-2-12-;0;0;0;2;4;5684144,4;4;16;19431,3;18;65;1489,8;347;1319;135,2;703;2616;72;815;3106;42,6;9825;38177;17,3;14866;58844;12,5;36647;142857;9,6;52688;203482;8,1;222926;874394;6;549225;2132408;3,9;1;2464;7;281,6;127;19,4;236;10,4;3510;1,7;5197;3,1;19157;4;31567;11,3;78502;2,5;692981;2,5;UF 576 9619;
20200099;VENDREDI;11/12/2020;13;11/04/2021;41;13;24;9;6;3;12;-6-9-13-24-41-;-3-12-;1;1;200000000;3;12;2364169,1;5;17;22819,6;20;73;1655,2;574;2271;98;957;3764;62,5;1373;5278;31,3;12455;50834;16,2;24341;91723;10;58141;219032;7,8;62053;258453;8;314250;1224812;5,3;753910;2892569;3,6;1;3052;8;305,2;230;13,2;349;8,7;4577;1,6;8495;2,4;22740;4,2;36831;12;109852;2,2;850017;2,6;OR 273 6030;
20200100;MARDI   ;15/12/2020;1;15/04/2021;21;9;35;13;29;2;1;-9-13-21-29-35-;-1-2-;0;0;0;0;7;81129,1;1;11;12066,2;3;21;1968,6;196;783;97,2;286;1283;62,7;392;1907;29,6;3692;18232;15,5;7601;33176;9,5;16989;76794;7,6;18441;92101;7,7;98775;441028;5;219416;1008542;3,5;0;0;3;589,8;73;13,4;111;8,8;1381;1,7;2893;2,2;6896;4,4;11052;12,9;37738;2,1;285839;2,5;AA 954 3153;
20200101;VENDREDI;18/12/2020;2;18/04/2021;2;21;17;3;13;7;8;-2-3-13-17-21-;-7-8-;0;0;0;2;4;192267,3;1;10;17974,4;22;80;699,8;435;1666;61,9;575;2495;43,6;667;2806;27,3;7011;30918;12,3;14939;62830;6,8;26297;111763;7,1;31474;142041;6,7;178955;757863;4;314233;1390130;3,5;1;1322,9;5;211,6;171;7,7;204;6,4;2510;1,3;5357;1,6;11380;3,6;17053;11,3;64482;1,6;402642;2,3;QJ 740 0867;
